house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status
3 BHK Independent House ,"1,450 sq ft",Mayur Vihar II,Delhi,28.6170063,77.29906464,35000,INR,2,1,Negotiable,null,Posted 6 months ago,"Itâs a 3 bhk independent house situated in Mayur Vihar II, Delhi. It is a semi-furnished property. It is facing northeast direction. The property has 2 bathrooms and 1 balcony. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. "," 70,000",Semi-Furnished
3 BHK Apartment ,"1,450 sq ft",mayur vihar phase 1,Delhi,28.60659218,77.29367828,40000,INR,2,1,Negotiable,null,Posted 6 months ago,"Itâs a 3 bhk multistorey apartment situated in mayur vihar phase 1, Delhi. It has area of 1450 sqft and is available at a rent of Rs. 40,000. It is a semi-furnished property. It is located on the 3rd floor(out of a total of 7 floor(s)). It is facing northeast direction. It has 2 bathrooms and 1 balcony. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. "," 80,000",Semi-Furnished
2 BHK Apartment ,900 sq ft,Sheikh Sarai,Delhi,28.53419876,77.21559143,25000,INR,2,1,null,null,Posted a year ago,"Itâs a 2 bhk multistorey apartment situated in Partik Constructions Panchsheel Vihar, Sheikh Sarai. It has a built-up area of 900 sqft and is available for rent at Rs. 25,000 per month . It is a semi-furnished property. Itâs on 4th floor out of 4 floors building. It is north facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. "," 25,000",Semi-Furnished
3 BHK Apartment ,"1,350 sq ft",IP Extension,Delhi,28.62976646,77.30672455,27000,INR,2,1,null,null,Posted a year ago,"A 3 bhk property is available for rent in IP Extension, Delhi. It has area of 1350 sqft and is available at a rent of Rs. 27,000. It is a semi-furnished property. Itâs on 2nd floor out of 4 floors building. The property has 2 bathrooms and 1 balcony. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. "," 54,000",Semi-Furnished
2 BHK Apartment ,950 sq ft,IP Extension,Delhi,28.62976646,77.30672455,21000,INR,2,1,null,null,Posted a year ago,"A 2 bhk property is available for rent in IP Extension, Delhi. It has area of 950 sqft and is available at a rent of Rs. 21,000. It is a semi-furnished property. Itâs on 4th floor out of 4 floors building. Its main door is facing east direction. The property has 2 bathrooms and 1 balcony. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. "," 42,000",Semi-Furnished
1 BHK Apartment ,700 sq ft,IP Extension,Delhi,28.62801552,77.30574036,14000,INR,1,1,null,null,Posted a year ago,"A 1 bhk property is available for rental in Swaraj Homes Prashant Apartments, IP Extension, Delhi. It has area of 700 sqft and is available at a rent of Rs. 14,000. The house is semi-furnished. It is on 1st floor. The building has a total of 4 floor(s). Its main door is facing east direction. The property has 1 bathroom and 1 balcony. The site is in close proximity to various civic utilities. Please contact us for more details. "," 28,000",Semi-Furnished
3 BHK Apartment ,"1,300 sq ft",IP Extension,Delhi,28.62976646,77.30672455,25000,INR,2,1,null,null,Posted a year ago,It is located on the 1st floor(out of a total of 4 floor(s)). It is east facing property. It has 2 bathrooms and 1 balcony. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ," 50,000",Semi-Furnished
2 BHK Apartment ,950 sq ft,IP Extension,Delhi,28.62976646,77.30672455,22000,INR,2,1,null,null,Posted a year ago,"The house is semi-furnished. It is on 1st floor. The building has a total of 4 floor(s). Its main door is facing east direction. It has 2 bathrooms and 1 balcony. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. "," 44,000",Semi-Furnished
2 BHK Apartment ,900 sq ft,IP Extension,Delhi,28.62976646,77.30672455,18000,INR,1,1,null,null,Posted a year ago,"It has an area of 900 sqft with a carpet area of 850 sqft . The property is available at a monthly rental of Rs. 18,000 . The house is semi-furnished. Itâs on 3rd floor out of 3 floors building. It is east facing property. It has 1 bathroom and 1 balcony. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact us for more details. "," 36,000",Semi-Furnished
1 BHK Apartment ,750 sq ft,IP Extension,Delhi,28.62976646,77.30672455,14000,INR,2,1,null,null,Posted a year ago,"It has a built-up area of 750 sqft and is available for rent at Rs. 14,000 per month . Its main door is facing east direction. It has 2 bathrooms and 1 balcony. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Kindly call us for details. "," 28,000",Semi-Furnished
1 BHK Apartment ,750 sq ft,IP Extension,Delhi,28.62976646,77.30672455,15500,INR,1,1,null,null,Posted a year ago,This spacious 1 bhk multistorey apartment is available for rental and is located in the heart of IP Extension. It is a semi-furnished property. It is on 2nd floor. The building has a total of 4 floor(s). It is east facing property. It has 1 bathroom and 1 balcony. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ," 31,000",Semi-Furnished
1 BHK Apartment ,750 sq ft,Patparganj,Delhi,28.62023735,77.29225922,18000,INR,2,1,null,null,Posted a year ago,1 BHK flat second for brothers Apartment fully furnished flat IP extension Patparganj nearby Ajanta market and IP extension Metro station Max hospital and balco market gold society flooring chain model kitchen," 36,000",Furnished
4 BHK Villa ,"5,562 sq ft",Shanti Niketan,Delhi,28.57792091,77.16937256,325562,INR,4,2,null,null,Posted 3 years ago,," 10,22,002",Unfurnished
4 BHK Independent Floor ,"5,562 sq ft",Shanti Niketan,Delhi,28.57792091,77.16937256,401012,INR,4,2,null,null,Posted 3 years ago,," 12,82,022",Unfurnished
4 BHK Independent Floor ,"6,521 sq ft",Shanti Niketan,Delhi,28.57792091,77.16937256,365261,INR,4,2,null,null,Posted 3 years ago,," 18,20,200",Unfurnished
4 BHK Independent Floor ,"5,211 sq ft",Shanti Niketan,Delhi,28.57792091,77.16937256,256556,INR,4,2,null,null,Posted 3 years ago,," 7,54,416",Unfurnished
3 BHK Independent Floor ,"2,852 sq ft",Shanti Niketan,Delhi,28.57792091,77.16937256,301012,INR,3,2,null,null,Posted 3 years ago,," 9,01,012",Unfurnished
3 BHK Independent Floor ,"2,352 sq ft",Shanti Niketan,Delhi,28.57792091,77.16937256,253535,INR,3,2,null,null,Posted 3 years ago,," 7,54,419",Unfurnished
3 BHK Independent Floor ,"2,852 sq ft",Shanti Niketan,Delhi,28.57792091,77.16937256,201022,INR,3,2,null,null,Posted 3 years ago,," 6,01,022",Unfurnished
5 BHK Villa ,"8,521 sq ft",Sunder Nagar,Delhi,28.61843681,76.96178436,1162992,INR,4,2,null,null,Posted 3 years ago,," 54,11,622",Unfurnished
4 BHK Independent Floor ,"5,211 sq ft",Green Park Extension,Delhi,28.55970383,77.20386505,362125,INR,4,2,null,null,Posted 3 years ago,," 10,10,202",Unfurnished
4 BHK Independent Floor ,"5,211 sq ft",Green Park,Delhi,28.55761909,77.20458984,235416,INR,4,2,null,null,Posted 3 years ago,," 7,18,128",Unfurnished
4 BHK Independent Floor ,"5,412 sq ft",Green Park,Delhi,28.55761909,77.20458984,254611,INR,4,2,null,null,Posted 3 years ago,," 7,54,161",Unfurnished
4 BHK Villa ,"5,412 sq ft",Green Park,Delhi,28.55761909,77.20458984,412022,INR,4,2,null,null,Posted 3 years ago,," 12,02,021",Unfurnished
4 BHK Independent Floor ,"5,562 sq ft",Greater kailash 1,Delhi,28.55175018,77.23332977,201020,INR,4,2,null,null,Posted 3 years ago,," 6,81,010",Unfurnished
4 BHK Independent Floor ,"5,211 sq ft",Greater kailash 1,Delhi,28.55175018,77.23332977,321122,INR,4,2,null,null,Posted 3 years ago,," 10,20,202",Unfurnished
4 BHK Independent Floor ,"5,211 sq ft",Greater kailash 1,Delhi,28.55175018,77.23332977,201021,INR,4,2,null,null,Posted 3 years ago,," 6,01,011",Unfurnished
4 BHK Independent Floor ,"4,741 sq ft",Greater kailash 1,Delhi,28.55175018,77.23332977,201020,INR,4,2,null,null,Posted 3 years ago,," 6,01,020",Unfurnished
3 BHK Independent Floor ,"2,511 sq ft",Greater Kailash II,Delhi,28.53174019,77.24913788,212225,INR,3,2,null,null,Posted 3 years ago,," 6,85,461",Unfurnished
3 BHK Independent Floor ,"2,541 sq ft",Greater Kailash II,Delhi,28.53174019,77.24913788,201020,INR,3,2,null,null,Posted 3 years ago,," 6,01,010",Unfurnished
3 BHK Independent Floor ,"2,745 sq ft",Greater Kailash II,Delhi,28.53174019,77.24913788,301012,INR,3,2,null,null,Posted 3 years ago,," 9,01,022",Unfurnished
3 BHK Independent Floor ,"2,852 sq ft",Greater Kailash II,Delhi,28.53174019,77.24913788,201022,INR,3,2,null,null,Posted 3 years ago,," 6,01,022",Unfurnished
3 BHK Independent Floor ,"2,852 sq ft",Greater Kailash II,Delhi,28.53174019,77.24913788,201022,INR,3,2,null,null,Posted 3 years ago,," 6,01,102",Unfurnished
4 BHK Independent Floor ,"5,562 sq ft",Greater Kailash II,Delhi,28.53174019,77.24913788,301202,INR,4,2,null,null,Posted 3 years ago,," 9,01,010",Unfurnished
4 BHK Independent Floor ,"5,621 sq ft",Greater Kailash II,Delhi,28.53174019,77.24913788,301102,INR,4,2,null,null,Posted 3 years ago,," 9,10,202",Unfurnished
4 BHK Independent Floor ,"5,523 sq ft",Greater Kailash II,Delhi,28.53174019,77.24913788,201022,INR,4,2,null,null,Posted 3 years ago,," 6,01,022",Unfurnished
4 BHK Villa ,"5,211 sq ft",Greater Kailash II,Delhi,28.53174019,77.24913788,310102,INR,4,2,null,null,Posted 3 years ago,," 10,10,202",Unfurnished
5 BHK Independent Floor ,"7,211 sq ft",Greater Kailash II,Delhi,28.53174019,77.24913788,649119,INR,4,2,null,null,Posted 3 years ago,," 25,46,165",Unfurnished
4 BHK Independent Floor ,"6,521 sq ft",Greater Kailash II,Delhi,28.53174019,77.24913788,411616,INR,4,2,null,null,Posted 3 years ago,," 18,22,828",Unfurnished
4 BHK Independent Floor ,"5,852 sq ft",Greater Kailash II,Delhi,28.53174019,77.24913788,516292,INR,4,2,null,null,Posted 3 years ago,," 15,46,416",Unfurnished
4 BHK Independent Floor ,"5,562 sq ft",Greater Kailash II,Delhi,28.53174019,77.24913788,235562,INR,4,2,null,null,Posted 3 years ago,," 7,54,612",Unfurnished
5 BHK Independent Floor ,"6,952 sq ft",Green Park,Delhi,28.55761909,77.20458984,235592,INR,4,2,null,null,Posted a year ago,Its dour bhk builder floor in the super location of delhi south green oark it is the super location road bank atm school ollage all r on walking destance," 7,54,225",Unfurnished
4 BHK Independent Floor ,"6,521 sq ft",Green Park,Delhi,28.55761909,77.20458984,301102,INR,4,2,null,null,Posted a year ago,Its four bhk builder floor in the super location of delhi south green oark it is the super location road bank atm school college all r in walking destance," 10,10,202",Unfurnished
4 BHK Independent Floor ,"6,251 sq ft",Geetanjali Enclave,Delhi,28.53087997,77.20243073,235592,INR,4,2,null,null,Posted a year ago,Its four bhk builder floor in the super location of delhi south geetanjli enclave it is the super location road bank atm school college all r on walking destance," 7,51,188",Unfurnished
4 BHK Apartment ,"2,200 sq ft",Sector 12 Dwarka,Delhi,28.59105492,77.03888702,40000,INR,4,null,null,null,Posted 3 years ago,"It has an area of 2200 sqft with a carpet area of 2000 sqft . The property is available at a monthly rental of Rs. 40,000 . Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,125 sq ft",Safdarjung Enclave,Delhi,28.56470108,77.19415283,60000,INR,3,null,null,null,Posted a year ago,Well designed 3 bhk builder floor is available at a prime location in Safdarjung Enclave. It is a semi-furnished property. It is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ,No Deposit,Semi-Furnished
2 BHK Independent Floor ,850 sq ft,Shalimar Bagh,Delhi,28.71339226,77.15860748,30000,INR,2,null,null,null,Posted a year ago,"A spacious 2 bhk builder floor is available for rental in Shalimar Bagh, Delhi. It has area of 850 sqft and is available at a rent of Rs. 30,000. It is a furnished property. It is made in way to provide a comfortable living for the residents. Kindly call us for details. ",No Deposit,Furnished
2 BHK Independent Floor ,900 sq ft,Lajpat Nagar,Delhi,28.57617188,77.24238586,45000,INR,2,null,null,null,Posted a year ago,"Itâs a 2 bhk builder floor situated in Lajpat Nagar, Delhi. It has a built-up area of 900 sqft and is available for rent at Rs. 45,000 per month . It is a semi-furnished property. Its main door is facing south direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Independent Floor ,600 sq ft,Shalimar Bagh,Delhi,28.71339226,77.15860748,16000,INR,1,null,null,null,Posted a year ago,"This spacious 1 bhk builder floor is available for rental and is located in the heart of Shalimar Bagh. It has a built-up area of 600 sqft and is available for rent at Rs. 16,000 per month . The house is furnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Furnished
2 BHK Independent Floor ,850 sq ft,Shalimar Bagh,Delhi,28.71339226,77.15860748,26000,INR,2,null,null,null,Posted a year ago,Itâs a 2 bhk builder floor situated in Shalimar Bagh. It is northeast facing property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. ,No Deposit,Unfurnished
3 BHK Independent Floor ,900 sq ft,Shalimar Bagh,Delhi,28.71339226,77.15860748,30000,INR,2,null,null,null,Posted a year ago,"Itâs a 3 bhk builder floor situated in Shalimar Bagh, Delhi. It has area of 900 sqft and is available at a rent of Rs. 30,000. It is a semi-furnished property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,900 sq ft,Pitampura,Delhi,28.70471764,77.14493561,30000,INR,2,null,null,null,Posted a year ago,"A spacious 3 bhk builder floor is available for rental in Pitampura, Delhi. It has an area of 900 sqft with a carpet area of 750 sqft . The property is available at a monthly rental of Rs. 30,000 . The house is semi-furnished. It is a ready-to-move-in property. The society is well connected by different modes of transportation. ",No Deposit,Semi-Furnished
1 BHK Independent Floor ,720 sq ft,Dr Mukherji Nagar,Delhi,28.70742416,77.21490479,17000,INR,2,null,null,null,Posted a year ago,"This spacious 1 bhk builder floor is available for rental and is located in the heart of Dr Mukherji Nagar. It has a built-up area of 720 sqft and is available for rent at Rs. 17,000 per month . This residential property is ready-to-move-in. The site is in close proximity to various civic utilities. Kindly call us for details. ",No Deposit,Unfurnished
2 BHK Independent Floor ,"1,000 sq ft",Lajpat Nagar,Delhi,28.57617188,77.24238586,45000,INR,2,null,null,null,Posted a year ago,"A 2 bhk property is available for rent in Lajpat Nagar, Delhi. It has an area of 1000 sqft with a carpet area of 700 sqft . The property is available at a monthly rental of Rs. 45,000 . Its main door is facing east direction. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",No Deposit,Furnished
1 BHK Independent Floor ,450 sq ft,Lajpat Nagar,Delhi,28.56769562,77.24327087,27900,INR,1,null,null,null,Posted a year ago,"It has area of 450 sqft and is available at a rent of Rs. 27,900. The house is furnished. It has 1 tv, 1 refrigerator, 1 sofa and 1 sofa. It also has 1 gas connection, 1 ac and 1 bed. It is east facing property. It is a 6 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",No Deposit,Furnished
3 BHK Independent Floor ,"1,000 sq ft",Shalimar Bagh,Delhi,28.70111465,77.15777588,28000,INR,2,null,null,null,Posted 3 years ago,"This spacious 3 bhk builder floor is available for rental and is located in Kala Kunj Apartments, one of the most prestigious projects of Shalimar Bagh. It has a built-up area of 1000 sqft and is available for rent at Rs. 28,000 per month . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Kindly call us for details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,950 sq ft,Shalimar Bagh,Delhi,28.71392632,77.15662384,26000,INR,null,null,null,null,Posted 3 years ago,Well designed 3 bhk builder floor is available at a prime location in BC Block Shalimar Bagh. It is a semi-furnished property. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. Kindly call us for details. ,No Deposit,Semi-Furnished
2 BHK Independent Floor ,700 sq ft,Shalimar Bagh,Delhi,28.71392632,77.15662384,22000,INR,null,null,null,null,Posted 3 years ago,"A 2 bhk property is available for rental in BC Block Shalimar Bagh, Shalimar Bagh, Delhi. It has area of 700 sqft and is available at a rent of Rs. 22,000. The house is furnished. This residential property is ready-to-move-in. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Furnished
1 BHK Independent Floor ,650 sq ft,Paschim Vihar,Delhi,28.70103836,77.14094543,12000,INR,null,null,null,null,Posted 3 years ago,"Well designed 1 bhk builder floor is available at a prime location in CGHS Group Triveni Apartment. It has a built-up area of 650 sqft and is available for rent at Rs. 12,000 per month . It is a semi-furnished property. This residential property is ready-to-move-in. It is well connected to the city areas. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Independent Floor ,650 sq ft,Shalimar Bagh,Delhi,28.7067318,77.17115784,12000,INR,null,null,null,null,Posted 3 years ago,"Itâs a 1 bhk builder floor situated in AC Block, Shalimar Bagh. It has an area of 650 sqft . The property is available at a monthly rental of Rs. 12,000 . This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,900 sq ft,Shalimar Bagh,Delhi,28.71392632,77.15662384,30000,INR,3,null,null,null,Posted 3 years ago,"It has an area of 900 sqft . The property is available at a monthly rental of Rs. 30,000 . It is a furnished property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",No Deposit,Furnished
3 BHK Independent Floor ,950 sq ft,Shalimar Bagh,Delhi,28.71392632,77.15662384,25650,INR,null,null,null,null,Posted 3 years ago,"Itâs a 3 bhk builder floor situated in BC Block Shalimar Bagh, Shalimar Bagh, Delhi. It has a built-up area of 950 sqft and is available for rent at Rs. 26,000 per month . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Independent Floor ,850 sq ft,Shalimar Bagh,Delhi,28.71905708,77.15707397,25000,INR,2,null,null,null,Posted 3 years ago,"A 2 bhk property is available for rental in C-BLOCK, Shalimar Bagh, Delhi. It has a built-up area of 850 sqft and is available for rent at Rs. 25,000 per month . The house is furnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Furnished
2 BHK Independent Floor ,850 sq ft,Pitampura,Delhi,28.69844246,77.14471436,29750,INR,null,null,null,null,Posted 3 years ago,"Itâs a 2 bhk builder floor situated in Pitampura, Delhi. The house is furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Kindly call us for details. ",No Deposit,Furnished
1 BHK Independent Floor ,600 sq ft,Shalimar Bagh,Delhi,28.7071991,77.16947174,13000,INR,null,null,null,null,Posted 3 years ago,"A 1 bhk property is available for rental in SWA AB Block Shalimar Bagh, Shalimar Bagh, Delhi. The house is semi-furnished. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,500 sq ft",Pitampura,Delhi,28.69330788,77.12986755,35000,INR,3,null,null,null,Posted 3 years ago,"This spacious 3 bhk builder floor is available for rental and is located in the heart of Pitampura. It has a built-up area of 1500 sqft and is available for rent at Rs. 35,000 per month . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Semi-Furnished
1 BHK Independent Floor ,500 sq ft,Anand Vihar,Delhi,28.64441681,77.30342102,8000,INR,1,null,null,null,Posted 3 years ago,It is a semi-furnished property. It is northwest facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. Please contact for more details. ,No Deposit,Semi-Furnished
3 BHK Independent Floor ,980 sq ft,Uttam Nagar,Delhi,28.62171745,77.04036713,13000,INR,2,2,null,null,Posted 6 months ago,This spacious 3 bhk builder floor is available for rental and is located in the heart of Uttam Nagar. It is on 1st floor. The building has a total of 4 floor(s). It is facing north direction. It is made in way to provide a comfortable living for the residents. Contact us for more details. ," 13,000",Semi-Furnished
2 BHK Independent Floor ,700 sq ft,Uttam Nagar west,Delhi,28.62127113,77.06132507,11000,INR,1,1,null,null,Posted 6 months ago,"This spacious 2 bhk builder floor is available for rental and is located in the heart of Uttam Nagar west. It has a built-up area of 700 sqft and is available for rent at Rs. 11,000 per month . It is on the 1st floor of the building (total number of floors are 4). It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. "," 11,000",Semi-Furnished
1 BHK Independent Floor ,480 sq ft,Uttam Nagar west,Delhi,28.62127113,77.06132507,7000,INR,1,1,null,null,Posted 6 months ago,Independent flat available for rent in om vihar Uttam Nagar west near metro no interference of land lord with bike parking newly constructed friendly environment," 7,000",Semi-Furnished
1 BHK Independent Floor ,480 sq ft,Uttam Nagar west,Delhi,28.62127113,77.06132507,6200,INR,1,1,null,null,Posted 6 months ago,Independent flat available for rent in om vihar Uttam Nagar west near metro no interference of land lord with bike parking newly constructed ready to move in in in with modular kitchen," 6,200",Furnished
1 BHK Apartment ,600 sq ft,Sheikh Sarai,Delhi,28.53427887,77.20841217,16500,INR,1,1,null,null,Posted 4 months ago,"This spacious 1 bhk multistorey apartment is available for rental and is located in Swaraj Homes RWA Khirki Extension Block R, one of the most prestigious projects of Sheikh Sarai. It is a furnished property. It has 1 wardrobe, 1 tv, 1 refrigerator and 1 sofa. It also has 1 washing machine, 1 wifi, 1 microwave, 1 dining table, 1 gas connection, 1 ac, 1 bed and 1 modular kitchen. It is on 3rd floor. The building has a total of 4 floor(s). It has power backup as well as children's play area. The project also has car parking. It has 1 bathroom and 1 balcony. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact us for more details. "," 16,500",Furnished
3 BHK Independent Floor ,"2,750 sq ft",Pitampura,Delhi,28.695364,77.15354919,80000,INR,3,1,null,null,Posted 3 years ago,," 1,60,000",Semi-Furnished
3 BHK Independent Floor ,"2,750 sq ft",Poorvi Pitampura,Delhi,28.70433044,77.14995575,85000,INR,3,1,null,null,Posted 3 years ago,," 1,70,000",Semi-Furnished
3 BHK Independent Floor ,900 sq ft,Poorvi Pitampura,Delhi,28.70433044,77.14995575,29500,INR,2,1,null,null,Posted 3 years ago,," 60,000",Semi-Furnished
3 BHK Independent Floor ,"1,350 sq ft",Poorvi Pitampura,Delhi,28.70433044,77.14995575,43000,INR,3,1,null,null,Posted 3 years ago,," 85,000",Semi-Furnished
3 BHK Independent Floor ,900 sq ft,Poorvi Pitampura,Delhi,28.70433044,77.14995575,31000,INR,2,1,null,null,Posted 3 years ago,," 62,000",Semi-Furnished
2 BHK Independent Floor ,750 sq ft,Poorvi Pitampura,Delhi,28.70433044,77.14995575,24000,INR,2,1,null,null,Posted 3 years ago,," 50,000",Semi-Furnished
2 BHK Independent Floor ,900 sq ft,Shalimar Bagh,Delhi,28.71273994,77.16290283,22000,INR,1,1,null,null,Posted 3 years ago,," 50,000",Semi-Furnished
3 BHK Independent Floor ,"2,550 sq ft",Vaishali Dakshini Pitampura,Delhi,28.70215034,77.13902283,85000,INR,3,1,null,null,Posted 3 years ago,," 1,90,000",Semi-Furnished
4 BHK Independent Floor ,"2,750 sq ft",Poorvi Pitampura,Delhi,28.70433044,77.14995575,91000,INR,4,2,null,null,Posted 3 years ago,," 1,80,000",Semi-Furnished
4 BHK Independent Floor ,"2,750 sq ft",Uttari Pitampura,Delhi,28.71280289,77.13853455,90000,INR,4,2,null,null,Posted 3 years ago,," 1,80,000",Semi-Furnished
3 BHK Independent Floor ,"2,350 sq ft",Uttari Pitampura,Delhi,28.71280289,77.13853455,65000,INR,3,1,null,null,Posted 3 years ago,," 1,30,000",Semi-Furnished
3 BHK Apartment ,"1,270 sq ft",Rohini Sector 9,Delhi,28.63529968,77.22499847,35000,INR,2,1,Negotiable,null,Posted 4 years ago,," 70,000",Unfurnished
2 BHK Apartment ,"1,090 sq ft",Sector 14 Rohini,Delhi,28.71043777,77.13288879,23000,INR,1,1,null,null,Posted 4 years ago,," 46,000",Unfurnished
2 BHK Apartment ,950 sq ft,Sector 13 Rohini,Delhi,28.72253609,77.12776184,23000,INR,2,1,null,null,Posted 4 years ago,," 46,000",Semi-Furnished
2 BHK Apartment ,958 sq ft,Sector 9 Rohini,Delhi,28.71616554,77.12406921,24000,INR,2,1,Negotiable,null,Posted 4 years ago,," 48,000",Semi-Furnished
3 BHK Apartment ,"1,150 sq ft",Sector 13 Rohini,Delhi,28.72253609,77.12776184,32000,INR,2,1,Negotiable,null,Posted 4 years ago,," 64,000",Semi-Furnished
2 BHK Independent Floor ,"1,000 sq ft",Prakash Mohalla Amritpuri,Delhi,28.55724716,77.24999237,20000,INR,1,null,null,null,Posted 3 years ago,," 20,000",Unfurnished
1 BHK Independent Floor ,600 sq ft,Amritpuri,Delhi,28.55912971,77.2505722,11000,INR,1,1,null,null,Posted 3 years ago,," 11,000",Unfurnished
3 BHK Independent Floor ,"1,350 sq ft",Poorvi Pitampura,Delhi,28.70433044,77.14995575,40000,INR,3,1,null,null,Posted 3 years ago,," 80,000",Semi-Furnished
1 BHK Apartment ,475 sq ft,Sheikh Sarai,Delhi,28.53419876,77.21559143,13700,INR,1,1,Negotiable,null,Posted 5 months ago,"It has an area of 475 sqft with a carpet area of 450 sqft . The property is available at a monthly rental of Rs. 13,700 (negotiable ). It is a semi-furnished property. Furnishings include 1 wardrobe, 1 wifi, 1 gas connection and 1 modular kitchen. Itâs on 2nd floor out of 4 floors building. Its main door is facing north direction. The property has 1 bathroom and 1 balcony. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. "," 13,700",Semi-Furnished
2 BHK Apartment ,"1,350 sq ft",mayur vihar phase 1,Delhi,28.60659218,77.29367828,40000,INR,2,1,Negotiable,null,Posted 5 months ago,"Itâs a 2 bhk multistorey apartment situated in mayur vihar phase 1. It has a built-up area of 1350 sqft and is available for rent at Rs. 40,000 per month (negotiable). Itâs on 2nd floor out of 4 floors building. It is east facing property. It has 2 bathrooms and 1 balcony. The society is well connected by different modes of transportation. "," 80,000",Semi-Furnished
2 BHK Independent Floor ,600 sq ft,Uttam Nagar west,Delhi,28.62127113,77.06132507,11000,INR,2,1,null,null,Posted 19 days ago,Independent flat available for rent in om Vihar Uttam Nagar west west Delhi near to metro no interference of land lord ready to move in in in with modular kitchen," 11,000",Semi-Furnished
2 BHK Apartment ,"1,000 sq ft",Vasant Kunj Sector A,Delhi,28.51416779,77.17008209,40000,INR,2,1,null,null,Posted 3 years ago,," 1,20,000",Semi-Furnished
3 BHK Apartment ,"1,350 sq ft",Malviya Nagar,Delhi,28.53744888,77.21738434,32500,INR,2,2,Negotiable,null,Posted 3 years ago,," 32,500",Semi-Furnished
2 BHK Apartment ,"2,000 sq ft",Saket,Delhi,28.52416039,77.20480347,75000,INR,2,2,Negotiable,null,Posted 3 years ago,," 75,000",Furnished
3 BHK Independent House ,"2,300 sq ft",Saket,Delhi,28.52354813,77.20014191,62000,INR,3,3,Negotiable,null,Posted 3 years ago,," 62,000",Semi-Furnished
